Census Year,Ward,Category,SubCategory,Characteristic,SubCharacteristic,Value
2021,Rideau Jock,Demographics,Age,Age groups of the population,75 to 79 years,1080
2021,Rideau Jock,Demographics,Age,Age groups of the population,80 to 84 years,525
2021,Rideau Jock,Demographics,Age,Age groups of the population,85 years and over,450
2021,Rideau Jock,Demographics,Age,Age groups of the population,85 to 89 years,310
2021,Rideau Jock,Demographics,Age,Age groups of the population,90 to 94 years,110
2021,Rideau Jock,Demographics,Age,Age groups of the population,95 to 99 years,30
2021,Rideau Jock,Demographics,Age,Age groups of the population,100 years and over,0
2021,Rideau Jock,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,17.7
2021,Rideau Jock,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,62.2
2021,Rideau Jock,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,20.1
2021,Rideau Jock,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,1.7
2021,Rideau Jock,Demographics,Age,Average age of the population, ,42.8
2021,Rideau Jock,Demographics,Age,Median age of the population, ,45.6
2021,Osgoode,Demographics,Age,Age groups of the population,0 to 14 years,5110
2021,Osgoode,Demographics,Age,Age groups of the population,0 to 4 years,1440
2021,Osgoode,Demographics,Age,Age groups of the population,5 to 9 years,1795
2021,Osgoode,Demographics,Age,Age groups of the population,10 to 14 years,1880
2021,Osgoode,Demographics,Age,Age groups of the population,15 to 64 years,19905
2021,Osgoode,Demographics,Age,Age groups of the population,15 to 19 years,1855
2021,Osgoode,Demographics,Age,Age groups of the population,20 to 24 years,1540
2021,Osgoode,Demographics,Age,Age groups of the population,25 to 29 years,1355
2021,Osgoode,Demographics,Age,Age groups of the population,30 to 34 years,1515
2021,Osgoode,Demographics,Age,Age groups of the population,35 to 39 years,1710
2021,Osgoode,Demographics,Age,Age groups of the population,40 to 44 years,1920
2021,Osgoode,Demographics,Age,Age groups of the population,45 to 49 years,2115
2021,Osgoode,Demographics,Age,Age groups of the population,50 to 54 years,2370
2021,Osgoode,Demographics,Age,Age groups of the population,55 to 59 years,3015
2021,Osgoode,Demographics,Age,Age groups of the population,60 to 64 years,2505
2021,Osgoode,Demographics,Age,Age groups of the population,65 years and over,4950
2021,Osgoode,Demographics,Age,Age groups of the population,65 to 69 years,1865
2021,Osgoode,Demographics,Age,Age groups of the population,70 to 74 years,1310
2021,Osgoode,Demographics,Age,Age groups of the population,75 to 79 years,940
2021,Osgoode,Demographics,Age,Age groups of the population,80 to 84 years,495
2021,Osgoode,Demographics,Age,Age groups of the population,85 years and over,340
2021,Osgoode,Demographics,Age,Age groups of the population,85 to 89 years,270
2021,Osgoode,Demographics,Age,Age groups of the population,90 to 94 years,55
2021,Osgoode,Demographics,Age,Age groups of the population,95 to 99 years,15
2021,Osgoode,Demographics,Age,Age groups of the population,100 years and over,0
2021,Osgoode,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,17.1
2021,Osgoode,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,66.4
2021,Osgoode,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,16.5
2021,Osgoode,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,1.1
2021,Osgoode,Demographics,Age,Average age of the population, ,42
2021,Osgoode,Demographics,Age,Median age of the population, ,44.8
2021,Orléans South Navan,Demographics,Age,Age groups of the population,0 to 14 years,10445
2021,Orléans South Navan,Demographics,Age,Age groups of the population,0 to 4 years,2980
2021,Orléans South Navan,Demographics,Age,Age groups of the population,5 to 9 years,3685
2021,Orléans South Navan,Demographics,Age,Age groups of the population,10 to 14 years,3790
2021,Orléans South Navan,Demographics,Age,Age groups of the population,15 to 64 years,33535
2021,Orléans South Navan,Demographics,Age,Age groups of the population,15 to 19 years,3510
2021,Orléans South Navan,Demographics,Age,Age groups of the population,20 to 24 years,3005
2021,Orléans South Navan,Demographics,Age,Age groups of the population,25 to 29 years,2995
2021,Orléans South Navan,Demographics,Age,Age groups of the population,30 to 34 years,3250
2021,Orléans South Navan,Demographics,Age,Age groups of the population,35 to 39 years,3760
2021,Orléans South Navan,Demographics,Age,Age groups of the population,40 to 44 years,3950
2021,Orléans South Navan,Demographics,Age,Age groups of the population,45 to 49 years,3755
2021,Orléans South Navan,Demographics,Age,Age groups of the population,50 to 54 years,3435
2021,Orléans South Navan,Demographics,Age,Age groups of the population,55 to 59 years,3350
2021,Orléans South Navan,Demographics,Age,Age groups of the population,60 to 64 years,2530
2021,Orléans South Navan,Demographics,Age,Age groups of the population,65 years and over,5075
2021,Orléans South Navan,Demographics,Age,Age groups of the population,65 to 69 years,2040
2021,Orléans South Navan,Demographics,Age,Age groups of the population,70 to 74 years,1430
2021,Orléans South Navan,Demographics,Age,Age groups of the population,75 to 79 years,920
2021,Orléans South Navan,Demographics,Age,Age groups of the population,80 to 84 years,465
2021,Orléans South Navan,Demographics,Age,Age groups of the population,85 years and over,220
2021,Orléans South Navan,Demographics,Age,Age groups of the population,85 to 89 years,145
2021,Orléans South Navan,Demographics,Age,Age groups of the population,90 to 94 years,65
2021,Orléans South Navan,Demographics,Age,Age groups of the population,95 to 99 years,0
2021,Orléans South Navan,Demographics,Age,Age groups of the population,100 years and over,0
2021,Orléans South Navan,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,21.3
2021,Orléans South Navan,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,68.4
2021,Orléans South Navan,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,10.3
2021,Orléans South Navan,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,0.4
2021,Orléans South Navan,Demographics,Age,Average age of the population, ,36.4
2021,Orléans South Navan,Demographics,Age,Median age of the population, ,36.8
2021,Alta Vista,Demographics,Age,Age groups of the population,0 to 14 years,7205
2021,Alta Vista,Demographics,Age,Age groups of the population,0 to 4 years,2340
2021,Alta Vista,Demographics,Age,Age groups of the population,5 to 9 years,2490
2021,Alta Vista,Demographics,Age,Age groups of the population,10 to 14 years,2370
2021,Alta Vista,Demographics,Age,Age groups of the population,15 to 64 years,29175
2021,Alta Vista,Demographics,Age,Age groups of the population,15 to 19 years,2380
2021,Alta Vista,Demographics,Age,Age groups of the population,20 to 24 years,3290
2021,Alta Vista,Demographics,Age,Age groups of the population,25 to 29 years,3385
2021,Alta Vista,Demographics,Age,Age groups of the population,30 to 34 years,3225
2021,Alta Vista,Demographics,Age,Age groups of the population,35 to 39 years,3135
2021,Alta Vista,Demographics,Age,Age groups of the population,40 to 44 years,2765
2021,Alta Vista,Demographics,Age,Age groups of the population,45 to 49 years,2555
2021,Alta Vista,Demographics,Age,Age groups of the population,50 to 54 years,2720
2021,Alta Vista,Demographics,Age,Age groups of the population,55 to 59 years,2985
2021,Alta Vista,Demographics,Age,Age groups of the population,60 to 64 years,2735
2021,Alta Vista,Demographics,Age,Age groups of the population,65 years and over,7685
2021,Alta Vista,Demographics,Age,Age groups of the population,65 to 69 years,2245
2021,Alta Vista,Demographics,Age,Age groups of the population,70 to 74 years,2000
2021,Alta Vista,Demographics,Age,Age groups of the population,75 to 79 years,1355
2021,Alta Vista,Demographics,Age,Age groups of the population,80 to 84 years,975
2021,Alta Vista,Demographics,Age,Age groups of the population,85 years and over,1105
2021,Alta Vista,Demographics,Age,Age groups of the population,85 to 89 years,700
2021,Alta Vista,Demographics,Age,Age groups of the population,90 to 94 years,320
2021,Alta Vista,Demographics,Age,Age groups of the population,95 to 99 years,90
2021,Alta Vista,Demographics,Age,Age groups of the population,100 years and over,0
2021,Alta Vista,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,16.4
2021,Alta Vista,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,66.2
2021,Alta Vista,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,17.4
2021,Alta Vista,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,2.5
2021,Alta Vista,Demographics,Age,Average age of the population, ,40.6
2021,Alta Vista,Demographics,Age,Median age of the population, ,38.8
2021,Capital,Demographics,Age,Age groups of the population,0 to 14 years,4340
2021,Capital,Demographics,Age,Age groups of the population,0 to 4 years,1240
2021,Capital,Demographics,Age,Age groups of the population,5 to 9 years,1460
2021,Capital,Demographics,Age,Age groups of the population,10 to 14 years,1635
